id_conversa;id_cliente;segmento_cliente;arquetipo;perfil_tecnologico;faixa_etaria;idioma;origem;data_hora;canal_entrada;canal_humano;categoria_assunto;produto_relacionado;primeira_mensagem_cliente;sentimento_geral;resolvido_bot;transferencia_iniciada;humano_atendeu;status_conversa;resolvida;area_encaminhada;motivo_transferencia;num_mensagens;num_mensagens_cliente;duracao_seg;csat;qtd_dados_mascarados;transcricao_completa;contatos_previos;reabertura
CONV-006143;CLI-69A2E37F315A;CDE;Expat Digital;alto;jovem;EN;Receptivo;2026-02-17 00:15:33;WhatsApp;;Onboarding - Documentacao;Conta Corrente;i can't upload my passport in the app.;Positivo;True;False;False;Resolvida pelo bot;Sim;;;8;4;343;;0;[01] Cliente: i can't upload my passport in the app. || [02] Kenzie: Hello! I'm Kenzie, the bank's virtual assistant. How can I help? For onboarding we accept a photo ID and a recent proof of address. I can check your submission. || [03] Cliente: It still doesn't work. I'm very unhappy with the bank. || [04] Kenzie: I found your profile, one moment. || [05] Cliente: [audio transcrito] it still doesn''t work. i'm really frustrated with this. || [06] Kenzie: Got the info, just a second. || [07] Cliente: perfect, all resolved! || [08] Kenzie: Glad to help! Anything else?;0;False
CONV-016479;CLI-0BFC6F870190;CDE;Risco de Churn;medio;adulto;PT;Receptivo;2026-02-17 01:09:21;WhatsApp;;Alteracao de Limites;Conta Corrente;Preciso aumentar meu limite de transferencia.;Negativo;False;False;False;Encerrada sem resolucao;Nao;;;10;5;310;;0;[01] Cliente: Preciso aumentar meu limite de transferencia. || [02] Kenzie: Ola! Sou a Kenzie, assistente virtual do banco. Como posso ajudar? Posso mostrar seus limites atuais e registrar um pedido de ajuste. || [03] Cliente: Ainda estou com o mesmo problema. Que servico pessimo, decepcionante. || [04] Kenzie: Certo, deixa eu verificar isso para voce. || [05] Cliente: Entendi, e depois disso? || [06] Kenzie: Consegui puxar a informacao, so um momento. || [07] Cliente: Entendi, e depois disso? || [08] Kenzie: Estou checando os detalhes aqui. || [09] Cliente: Ta, obrigado mesmo assim. Isso e um absurdo. Assim vou encerrar minha conta. || [10] Kenzie: Sinto muito por nao resolver por aqui. Estou a disposicao.;0;False
CONV-032688;CLI-BB9EDE6CE634;CDE;Expat Digital;alto;jovem;EN;Receptivo;2026-02-17 01:35:55;WhatsApp;;Bloqueio TED/PIX;Conta Corrente;my pix was blocked without notice!;Neutro;False;False;False;Abandonada pelo cliente;Desconhecido;;;10;5;307;;2;[01] Cliente: my pix was blocked without notice! || [02] Kenzie: Hello! I'm Kenzie, the bank's virtual assistant. How can I help? Sorry for the trouble. Blocks happen for security. I'm checking it now. || [03] Cliente: And how do we proceed now? || [04] Kenzie: Sure, let me check that for you. || [05] Cliente: [foto anexada] I still have the same problem.  I'm very unhappy with the bank. My phone number is [TELEFONE]. || [06] Kenzie: I found your profile, one moment. || [07] Cliente: Ok, what's the next steep? || [08] Kenzie: I'm checking the details here. || [09] Cliente: i see, and then? My tax ID is [CPF]. || [10] Kenzie: I found your profile, one moment.;0;False
CONV-017678;CLI-071408936A84;CDE;Expat Digital;alto;jovem;EN;Receptivo;2026-02-17 01:53:01;WhatsApp;;Alteracao de Limites;Conta Corrente;mmy pix limit dropped suddenly.;Neutro;False;False;False;Abandonada pelo cliente;Desconhecido;;;8;4;182;;0;[01] Cliente: mmy pix limit dropped suddenly. || [02] Kenzie: Hello! I'm Kenzie, the bank's virtual assistant. How can I help? I can show your current limits and file an adjustment request. || [03] Cliente: that didn't solve it. i'm really frustrated with this. 😤 || [04] Kenzie: Sure, let me check that for you. || [05] Cliente: I still have the same problem. Third time I try, losing my patience. 😠 || [06] Kenzie: I'm checking the details here. || [07] Cliente: Ok, what's the next sstep? || [08] Kenzie: Sure, let me check that for you.;0;False
CONV-012000;CLI-CAE84A516EDF;Correntista Nacional;Nacional Pratico;medio;adulto;PT;Receptivo;2026-02-17 01:59:22;WhatsApp;Telefone;Alteracao de Limites;Conta Corrente;Qual e o meu limite atual? Que servico pessimo, decepcionante.;Positivo;False;True;True;Resolvida por humano;Sim;;;18;8;1775;;1;[01] Cliente: Qual e o meu limite atual? Que servico pessimo, decepcionante. || [02] Kenzie: Ola! Sou a Kenzie, assistente virtual do banco. Como posso ajudar? Posso mostrar seus limites atuais e registrar um pedido de ajuste. || [03] Cliente: Certo, qual o proximo passo? || [04] Kenzie: Certo, deixa eu verificar isso para voce. || [05] Cliente: E agora, como prosseguimos? || [06] Kenzie: Ja localizei seu cadastro, um instante. || [07] Cliente: E agora, como prosseguimos? || [08] Kenzie: Estou checando os detalhes aqui. || [09] Cliente: Certo, qual o proximo passo? Meu CPF e [CPF]. || [10] Kenzie: Esse caso precisa de um especialista humano, ja vou transferir. || [11] Atendente Humano: Ola, aqui e o atendimento humano. Assumi seu caso e vou ajudar. || [12] Cliente: Ainda estou com o mesmo problema. Estou muito insatisfeito com o banco. || [13] Atendente Humano: Deixa eu checar isso no sistema, um instante. || [14] Cliente: E agora, como prosseguimos? || [15] Atendente Humano: Estou analisando o seu caso agora. || [16] Atendente Humano: Consegui resolver aqui no sistema, tudo certo. || [17] Cliente: Obrigado, deu certo! || [18] Atendente Humano: Fico a disposicao. Tenha um otimo dia!;0;False
CONV-020441;CLI-B2459EBDD93A;CDE;Expat Digital;alto;jovem;EN;Receptivo;2026-02-17 02:19:58;WhatsApp;;Termos e Documentacao BR;Conta Corrente;i've lived abroad for years, is my cpf still valid?;Neutro;False;True;False;Abandonada pelo cliente;Desconhecido;;;10;5;384;1.0;1;"[01] Cliente: i've lived abroad for years, is my cpf still valid? || [02] Kenzie: Hello! I'm Kenzie, the bank's virtual assistant. How can I help? CPF is the Brazilian tax ID; PIX is the instant payment system. I can explain step by step. || [03] Cliente: That didn't solve it. Terrible service, very disappointed. || [04] Kenzie: I found your profile, one moment. || [05] Cliente: i see, and then? 🙂 || [06] Kenzie: Sure, let me check that for you. || [07] Cliente: I see, and then? 🙂 My email is [EMAIL]. || [08] Kenzie: I'm checking the details here. || [09] Cliente: ok, what's the next step? || [10] Kenzie: I'll transfer you to a human agent, one moment.";0;False
CONV-026493;CLI-7F10D3C262D0;Correntista Nacional;Nacional Jovem Digital;alto;jovem;PT;Receptivo;2026-02-17 02:37:42;WhatsApp;;Investimentos CDB;CDB;Como invisto no CDB pelo app? Que servico pessimo, decepcionante.;Negativo;False;False;False;Encerrada sem resolucao;Nao;;;9;4;174;;1;[01] Cliente: Como invisto no CDB pelo app? Que servico pessimo, decepcionante. || [02] Kenzie: Ola! Sou a Kenzie, assistente virtual do banco. Como posso ajudar? Oferecemos CDB Prefixado, Pos-fixado e IPCA. Posso comparar os rendimentos. || [03] Kenzie: Desculpe, acho que nao entendi. Voce quer falar sobre cartao de credito? || [04] Cliente: [audio transcrito] Nao, nao e sobre isso. 😠 || [05] Kenzie: Oferecemos CDB Prefixado, Pos-fixado e IPCA. Posso comparar os rendimentos. || [06] Cliente: Entendi, e depois disso? Meu telefone e [TELEFONE]. || [07] Kenzie: Ja localizei seu cadastro, um instante. || [08] Cliente: [audio transcrito] certo, mas continuo insatisfeito. estou muito frustrado com isso. 😞 || [09] Kenzie: Sinto muito por nao resolver por aqui. Estou a disposicao.;0;False
CONV-018686;CLI-7D4C22B9F2F8;CDE;Expat Digital;alto;jovem;ES;Receptivo;2026-02-17 03:06:56;WhatsApp;WhatsApp;Cambio;Cambio;como hago una remesa internacional a brasil? 🙂;Negativo;False;True;True;Transferida - sem resolucao;Nao;Cambio/Backoffice;Fora do escopo do bot;23;10;1368;;1;"[01] Cliente: como hago una remesa internacional a brasil? 🙂 || [02] Kenzie: Hola! Soy Kenzie, asistente virtual del banco. Como puedo ayudar? Las cotizaciones y tasas estan en la app en Cambio > Cotizaciones, en tiempo real. || [03] Kenzie: Perdon, creo que no entendi. Quieres hablar de la tarjeta de credito? || [04] Cliente: no era eso, mi duda es otra. || [05] Kenzie: Las cotizaciones y tasas estan en la app en Cambio > Cotizaciones, en tiempo real. || [06] Cliente: Y ahora como seguimos? || [07] Kenzie: Claro, dejame verificar eso. || [08] Cliente: eso no lo resolvio. es la tercera vez que lo intento, pierdo la paciencia. 😤 Mi cuenta es [CONTA]. || [09] Kenzie: Estoy revisando los detalles aqui. || [10] Cliente: entiendo, y despues? || [11] Kenzie: Ya tengo la informacion, un segundo. || [12] Cliente: [audio transcrito] Bien, cual es el proximo paso? 🙂 || [13] Kenzie: Estoy revisando los detalles aqui. || [14] Cliente: Bien,, cual es el proximo paso? || [15] Kenzie: Este caso necesita un especialista humano, transfiriendo. || [16] Atendente Humano: Hola, soy del equipo de especialistas, me encargo. || [17] Cliente: sigue sin funcionar. esto es un absurdo. || [18] Atendente Humano: Ya verifique parte, un momento mas. || [19] Cliente: Bien, cual es el proximo paso? 🙂 || [20] Atendente Humano: Ya verifique parte, un momento mas. || [21] Atendente Humano: Necesita analisis del area de Cambio/Backoffice; abri un ticket. || [22] Cliente: Bien, pero sigo insatisfecho. Estoy muy insaatisfecho con el banco. || [23] Atendente Humano: Necesitas algo mas?";0;False
CONV-033240;CLI-03012E99CD02;CDE;Nao Residente Senior;baixo;idoso;EN;Receptivo;2026-02-17 03:09:32;WhatsApp;Telefone;Termos e Documentacao BR;Conta Corrente;[audio transcrito] What is CPF and why do I need it?;Positivo;False;True;True;Resolvida por humano;Sim;;;16;7;1099;5.0;2;"[01] Cliente: [audio transcrito] What is CPF and why do I need it? || [02] Kenzie: Hello! I'm Kenzie, the bank's virtual assistant. How can I help? CPF is the Brazilian tax ID; PIX is the instant payment system. I can explain step by step. || [03] Cliente: And how do we proceed now? || [04] Kenzie: I found your profile, one moment. || [05] Cliente: It still doesn't work. This is unacceptable. || [06] Kenzie: I'll transfer you to a human agent, one moment. || [07] Atendente Humano: Hello, this is human support. I've taken over your case. || [08] Cliente: [audio transcrito] I see, and then? || [09] Atendente Humano: I've checked part of it, one more moment. || [10] Cliente: I see, and then? My email is [EMAIL]. || [11] Atendente Humano: I've checked part of it, one more moment. || [12] Cliente: And how do we proceed now? My email is [EMAIL]. || [13] Atendente Humano: Let me check that in the system, one moment. || [14] Atendente Humano: I've solved it in the system, all set. || [15] Cliente: [audio transcrito] Great, thank you! || [16] Atendente Humano: I'm at your disposal. Have a great day!";0;False
CONV-015901;CLI-5DA8B11135B3;CDE;Expat Digital;alto;jovem;EN;Receptivo;2026-02-17 03:18:32;WhatsApp;;Cartao de Credito;Cartao de Credito;how do i request the credit card? this is unacceptable.;Positivo;True;False;False;Resolvida pelo bot;Sim;;;15;7;556;4.0;1;[01] Cliente: how do i request the credit card? this is unacceptable. || [02] Kenzie: Hello! I'm Kenzie, the bank's virtual assistant. How can I help? About your credit card, I can check the bill, due date and limit now. || [03] Kenzie: Sorry, I don't think I understood. Do you want to talk about your credit card? || [04] Cliente: You got it wrong, it's about what I said. || [05] Kenzie: About your credit card, I can check the bill, due date and limit now. || [06] Cliente: It still doesn't work. Third time I try, losing my patience. 😤 || [07] Kenzie: I found your profile, one moment. || [08] Cliente: [foto anexada] ok, what's the next step? || [09] Kenzie: I found your profile, one moment. || [10] Cliente: Ok, what's the next step? || [11] Kenzie: I found your profile, one moment. || [12] Cliente: ok, whaat's the next step? || [13] Kenzie: Got the info, just a second. || [14] Cliente: Great, thank u! My phone number is [TELEFONE]. || [15] Kenzie: Glad to help! Anything else?;0;False
